Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound
Southern Asia,50,Bangladesh,2001,Female,13.36,-,-
Southern Asia,50,Bangladesh,2001,Male,20.82,-,-
Southern Asia,50,Bangladesh,2001,Both sexes,17.13,-,-
Southern Asia,64,Bhutan,2012,Female,2.93,-,-
Southern Asia,64,Bhutan,2012,Male,8.17,-,-
Southern Asia,64,Bhutan,2012,Both sexes,5.51,-,-
Southern Asia,144,Sri Lanka,2001,Female,55.61,-,-
Southern Asia,144,Sri Lanka,2001,Male,56.62,-,-
Southern Asia,144,Sri Lanka,2001,Both sexes,56.1,-,-
Southern Asia,356,India,2011,Female,19.43,-,-
Southern Asia,356,India,2011,Male,34.15,-,-
Southern Asia,356,India,2011,Both sexes,26.89,-,-
Southern Asia,364,Iran (Islamic Republic of),2008,Female,37.87,-,-
Southern Asia,364,Iran (Islamic Republic of),2008,Male,40.19,-,-
Southern Asia,364,Iran (Islamic Republic of),2008,Both sexes,39.13,-,-
Southern Asia,364,Iran (Islamic Republic of),2010,Female,42.2,-,-
Southern Asia,364,Iran (Islamic Republic of),2010,Male,42.73,-,-
Southern Asia,364,Iran (Islamic Republic of),2010,Both sexes,42.49,-,-
Southern Asia,364,Iran (Islamic Republic of),2006,Female,40.67,-,-
Southern Asia,364,Iran (Islamic Republic of),2006,Male,45.53,-,-
Southern Asia,364,Iran (Islamic Republic of),2006,Both sexes,43.35,-,-
Southern Asia,364,Iran (Islamic Republic of),2012,Female,43.57,-,-
Southern Asia,364,Iran (Islamic Republic of),2012,Male,44.82,-,-
Southern Asia,364,Iran (Islamic Republic of),2012,Both sexes,44.24,-,-
Southern Asia,364,Iran (Islamic Republic of),2013,Female,46.05,-,-
Southern Asia,364,Iran (Islamic Republic of),2013,Male,46.54,-,-
Southern Asia,364,Iran (Islamic Republic of),2013,Both sexes,46.31,-,-
Southern Asia,364,Iran (Islamic Republic of),2014,Female,47.14,-,-
Southern Asia,364,Iran (Islamic Republic of),2014,Male,46.79,-,-
Southern Asia,364,Iran (Islamic Republic of),2014,Both sexes,46.95,-,-
Southern Asia,462,Maldives,2006,Female,4.07,-,-
Southern Asia,462,Maldives,2006,Male,6.42,-,-
Southern Asia,462,Maldives,2006,Both sexes,5.23,-,-
Southern Asia,524,Nepal,2011,Female,30.67,-,-
Southern Asia,524,Nepal,2011,Male,38,-,-
Southern Asia,524,Nepal,2011,Both sexes,35.2,-,-
Southern Asia,586,Pakistan,2008,Female,13.28,-,-
Southern Asia,586,Pakistan,2008,Male,31.11,-,-
Southern Asia,586,Pakistan,2008,Both sexes,22.58,-,-
Southern Asia,586,Pakistan,2005,Female,3.78,-,-
Southern Asia,586,Pakistan,2005,Male,9.89,-,-
Southern Asia,586,Pakistan,2005,Both sexes,6.76,-,-
Southern Asia,586,Pakistan,2009,Female,14.62,-,-
Southern Asia,586,Pakistan,2009,Male,31.28,-,-
Southern Asia,586,Pakistan,2009,Both sexes,23.3,-,-
Southern Asia,586,Pakistan,2010,Female,14.91,-,-
Southern Asia,586,Pakistan,2010,Male,32.01,-,-
Southern Asia,586,Pakistan,2010,Both sexes,23.88,-,-
Southern Asia,586,Pakistan,2006,Female,14.59,-,-
Southern Asia,586,Pakistan,2006,Male,31.44,-,-
Southern Asia,586,Pakistan,2006,Both sexes,23.35,-,-
Southern Asia,586,Pakistan,2011,Female,14.24,-,-
Southern Asia,586,Pakistan,2011,Male,33.3,-,-
Southern Asia,586,Pakistan,2011,Both sexes,24.15,-,-
Southern Asia,586,Pakistan,2012,Female,18.69,-,-
Southern Asia,586,Pakistan,2012,Male,32.31,-,-
Southern Asia,586,Pakistan,2012,Both sexes,25.65,-,-
Southern Asia,586,Pakistan,2013,Female,19.33,-,-
Southern Asia,586,Pakistan,2013,Male,32.53,-,-
Southern Asia,586,Pakistan,2013,Both sexes,26.07,-,-
Southern Asia,586,Pakistan,2014,Female,20.97,-,-
Southern Asia,586,Pakistan,2014,Male,34.18,-,-
Southern Asia,586,Pakistan,2014,Both sexes,27.72,-,-
Developed regions,8,Albania,2008,Female,35.29,-,-
Developed regions,8,Albania,2008,Male,44.99,-,-
Developed regions,8,Albania,2008,Both sexes,39.89,-,-
Developed regions,8,Albania,2001,Female,32.12,-,-
Developed regions,8,Albania,2001,Male,42.07,-,-
Developed regions,8,Albania,2001,Both sexes,37.04,-,-
Developed regions,8,Albania,2011,Female,38.73,-,-
Developed regions,8,Albania,2011,Male,48.43,-,-
Developed regions,8,Albania,2011,Both sexes,43.49,-,-
Developed regions,8,Albania,2012,Female,44.49,-,-
Developed regions,8,Albania,2012,Male,46.15,-,-
Developed regions,8,Albania,2012,Both sexes,45.28,-,-
Developed regions,20,Andorra,2014,Female,47.59,-,-
Developed regions,20,Andorra,2014,Male,48.08,-,-
Developed regions,20,Andorra,2014,Both sexes,47.84,-,-
Developed regions,20,Andorra,2015,Female,47.28,-,-
Developed regions,20,Andorra,2015,Male,47.81,-,-
Developed regions,20,Andorra,2015,Both sexes,47.55,-,-
Developed regions,36,Australia,2008,Female,67.18,-,-
Developed regions,36,Australia,2008,Male,73.05,-,-
Developed regions,36,Australia,2008,Both sexes,70.09,-,-
Developed regions,36,Australia,2005,Female,60.29,-,-
Developed regions,36,Australia,2005,Male,69.87,-,-
Developed regions,36,Australia,2005,Both sexes,65.03,-,-
Developed regions,36,Australia,2007,Female,64.18,-,-
Developed regions,36,Australia,2007,Male,72.25,-,-
Developed regions,36,Australia,2007,Both sexes,68.19,-,-
Developed regions,36,Australia,2009,Female,68.23,-,-
Developed regions,36,Australia,2009,Male,73.49,-,-
Developed regions,36,Australia,2009,Both sexes,70.86,-,-
Developed regions,36,Australia,2010,Female,70.6,-,-
Developed regions,36,Australia,2010,Male,74.99,-,-
Developed regions,36,Australia,2010,Both sexes,72.8,-,-
Developed regions,36,Australia,2004,Female,58.63,-,-
Developed regions,36,Australia,2004,Male,69.73,-,-
Developed regions,36,Australia,2004,Both sexes,64.12,-,-
Developed regions,36,Australia,2006,Female,62.58,-,-
Developed regions,36,Australia,2006,Male,70.93,-,-
Developed regions,36,Australia,2006,Both sexes,66.71,-,-
Developed regions,36,Australia,2011,Female,72.64,-,-
Developed regions,36,Australia,2011,Male,75.51,-,-
Developed regions,36,Australia,2011,Both sexes,74.06,-,-
Developed regions,36,Australia,2012,Female,75,-,-
Developed regions,36,Australia,2012,Male,77.99,-,-
Developed regions,36,Australia,2012,Both sexes,76.48,-,-
Developed regions,36,Australia,2013,Female,70.12,-,-
Developed regions,36,Australia,2013,Male,73.99,-,-
Developed regions,36,Australia,2013,Both sexes,72.04,-,-
Developed regions,36,Australia,2014,Female,69.81,-,-
Developed regions,36,Australia,2014,Male,72.67,-,-
Developed regions,36,Australia,2014,Both sexes,71.23,-,-
Developed regions,36,Australia,2015,Female,73.35,-,-
Developed regions,36,Australia,2015,Male,77.82,-,-
Developed regions,36,Australia,2015,Both sexes,75.56,-,-
Developed regions,40,Austria,2008,Female,62.96,-,-
Developed regions,40,Austria,2008,Male,83.55,-,-
Developed regions,40,Austria,2008,Both sexes,72.47,-,-
Developed regions,40,Austria,2005,Female,66.92,-,-
Developed regions,40,Austria,2005,Male,82.15,-,-
Developed regions,40,Austria,2005,Both sexes,74.2,-,-
Developed regions,40,Austria,2007,Female,64.91,-,-
Developed regions,40,Austria,2007,Male,83.02,-,-
Developed regions,40,Austria,2007,Both sexes,73.59,-,-
Developed regions,40,Austria,2009,Female,68.06,-,-
Developed regions,40,Austria,2009,Male,84.2,-,-
Developed regions,40,Austria,2009,Both sexes,75.81,-,-
Developed regions,40,Austria,2010,Female,69.25,-,-
Developed regions,40,Austria,2010,Male,84.46,-,-
Developed regions,40,Austria,2010,Both sexes,76.56,-,-
Developed regions,40,Austria,2011,Female,69.07,-,-
Developed regions,40,Austria,2011,Male,84.37,-,-
Developed regions,40,Austria,2011,Both sexes,76.43,-,-
Developed regions,40,Austria,2012,Female,69.83,-,-
Developed regions,40,Austria,2012,Male,84.67,-,-
Developed regions,40,Austria,2012,Both sexes,76.98,-,-
Developed regions,40,Austria,2013,Female,70.53,-,-
Developed regions,40,Austria,2013,Male,84.6,-,-
Developed regions,40,Austria,2013,Both sexes,77.31,-,-
Developed regions,40,Austria,2014,Female,71.53,-,-
Developed regions,40,Austria,2014,Male,85.19,-,-
Developed regions,40,Austria,2014,Both sexes,78.11,-,-
Developed regions,40,Austria,2015,Female,72.47,-,-
Developed regions,40,Austria,2015,Male,86.02,-,-
Developed regions,40,Austria,2015,Both sexes,79.01,-,-
Developed regions,56,Belgium,2008,Female,57.63,-,-
Developed regions,56,Belgium,2008,Male,63.42,-,-
Developed regions,56,Belgium,2008,Both sexes,60.42,-,-
Developed regions,56,Belgium,2009,Female,59.28,-,-
Developed regions,56,Belgium,2009,Male,64.28,-,-
Developed regions,56,Belgium,2009,Both sexes,61.69,-,-
Developed regions,56,Belgium,2010,Female,59.75,-,-
Developed regions,56,Belgium,2010,Male,63.85,-,-
Developed regions,56,Belgium,2010,Both sexes,61.73,-,-
Developed regions,56,Belgium,2006,Female,55.47,-,-
Developed regions,56,Belgium,2006,Male,60.17,-,-
Developed regions,56,Belgium,2006,Both sexes,57.73,-,-
Developed regions,56,Belgium,2011,Female,60.89,-,-
Developed regions,56,Belgium,2011,Male,64.77,-,-
Developed regions,56,Belgium,2011,Both sexes,62.76,-,-
Developed regions,56,Belgium,2012,Female,61.56,-,-
Developed regions,56,Belgium,2012,Male,64.98,-,-
Developed regions,56,Belgium,2012,Both sexes,63.21,-,-
Developed regions,56,Belgium,2013,Female,62.83,-,-
Developed regions,56,Belgium,2013,Male,65.82,-,-
Developed regions,56,Belgium,2013,Both sexes,64.28,-,-
Developed regions,56,Belgium,2014,Female,62.3,-,-
Developed regions,56,Belgium,2014,Male,65.86,-,-
Developed regions,56,Belgium,2014,Both sexes,64.02,-,-
Developed regions,56,Belgium,2015,Female,64.7,-,-
Developed regions,56,Belgium,2015,Male,67.83,-,-
Developed regions,56,Belgium,2015,Both sexes,66.21,-,-
Developed regions,60,Bermuda,2000,Female,84.93,-,-
Developed regions,60,Bermuda,2000,Male,84.93,-,-
Developed regions,60,Bermuda,2000,Both sexes,84.93,-,-
Developed regions,60,Bermuda,2010,Female,80.3,-,-
Developed regions,60,Bermuda,2010,Male,73.36,-,-
Developed regions,60,Bermuda,2010,Both sexes,77.02,-,-
Developed regions,70,Bosnia and Herzegovina,2010,Female,27.91,-,-
Developed regions,70,Bosnia and Herzegovina,2010,Male,34.58,-,-
Developed regions,70,Bosnia and Herzegovina,2010,Both sexes,31.11,-,-
Developed regions,70,Bosnia and Herzegovina,2011,Female,29.41,-,-
Developed regions,70,Bosnia and Herzegovina,2011,Male,36.36,-,-
Developed regions,70,Bosnia and Herzegovina,2011,Both sexes,32.74,-,-
Developed regions,70,Bosnia and Herzegovina,2014,Female,47.51,-,-
Developed regions,70,Bosnia and Herzegovina,2014,Male,72.83,-,-
Developed regions,70,Bosnia and Herzegovina,2014,Both sexes,59.57,-,-
Developed regions,70,Bosnia and Herzegovina,2015,Female,49.68,-,-
Developed regions,70,Bosnia and Herzegovina,2015,Male,72.9,-,-
Developed regions,70,Bosnia and Herzegovina,2015,Both sexes,60.83,-,-
Developed regions,100,Bulgaria,2008,Female,65.85,-,-
Developed regions,100,Bulgaria,2008,Male,69.57,-,-
Developed regions,100,Bulgaria,2008,Both sexes,67.61,-,-
Developed regions,100,Bulgaria,2007,Female,65.14,-,-
Developed regions,100,Bulgaria,2007,Male,69.11,-,-
Developed regions,100,Bulgaria,2007,Both sexes,67.02,-,-
Developed regions,100,Bulgaria,2009,Female,66.63,-,-
Developed regions,100,Bulgaria,2009,Male,70.07,-,-
Developed regions,100,Bulgaria,2009,Both sexes,68.26,-,-
Developed regions,100,Bulgaria,2010,Female,67.96,-,-
Developed regions,100,Bulgaria,2010,Male,71.46,-,-
Developed regions,100,Bulgaria,2010,Both sexes,69.61,-,-
Developed regions,100,Bulgaria,2001,Female,57.86,-,-
Developed regions,100,Bulgaria,2001,Male,61.22,-,-
Developed regions,100,Bulgaria,2001,Both sexes,59.46,-,-
Developed regions,100,Bulgaria,2006,Female,62.89,-,-
Developed regions,100,Bulgaria,2006,Male,66.18,-,-
Developed regions,100,Bulgaria,2006,Both sexes,64.45,-,-
Developed regions,100,Bulgaria,2011,Female,68.87,-,-
Developed regions,100,Bulgaria,2011,Male,72.64,-,-
Developed regions,100,Bulgaria,2011,Both sexes,70.65,-,-
Developed regions,100,Bulgaria,2012,Female,70.56,-,-
Developed regions,100,Bulgaria,2012,Male,74.58,-,-
Developed regions,100,Bulgaria,2012,Both sexes,72.48,-,-
Developed regions,100,Bulgaria,2013,Female,72.15,-,-
Developed regions,100,Bulgaria,2013,Male,75.9,-,-
Developed regions,100,Bulgaria,2013,Both sexes,73.94,-,-
Developed regions,100,Bulgaria,2014,Female,72.51,-,-
Developed regions,100,Bulgaria,2014,Male,75.24,-,-
Developed regions,100,Bulgaria,2014,Both sexes,73.81,-,-
Developed regions,100,Bulgaria,2015,Female,73.66,-,-
Developed regions,100,Bulgaria,2015,Male,76.29,-,-
Developed regions,100,Bulgaria,2015,Both sexes,74.91,-,-
Developed regions,112,Belarus,2009,Female,82.47,-,-
Developed regions,112,Belarus,2009,Male,87.84,-,-
Developed regions,112,Belarus,2009,Both sexes,84.85,-,-
Developed regions,124,Canada,2001,Female,70.57,-,-
Developed regions,124,Canada,2001,Male,71.47,-,-
Developed regions,124,Canada,2001,Both sexes,74.58,-,-
Developed regions,124,Canada,2006,Female,79.12,-,-
Developed regions,124,Canada,2006,Male,79.71,-,-
Developed regions,124,Canada,2006,Both sexes,79.4,-,-
Developed regions,124,Canada,2011,Female,82.74,-,-
Developed regions,124,Canada,2011,Male,82.76,-,-
Developed regions,124,Canada,2011,Both sexes,82.75,-,-
Developed regions,191,Croatia,2001,Female,50.46,-,-
Developed regions,191,Croatia,2001,Male,69.99,-,-
Developed regions,191,Croatia,2001,Both sexes,59.6,-,-
Developed regions,191,Croatia,2011,Female,63.2,-,-
Developed regions,191,Croatia,2011,Male,79.13,-,-
Developed regions,191,Croatia,2011,Both sexes,70.71,-,-
Developed regions,196,Cyprus,2008,Female,61.37,-,-
Developed regions,196,Cyprus,2008,Male,67.78,-,-
Developed regions,196,Cyprus,2008,Both sexes,64.5,-,-
Developed regions,196,Cyprus,2005,Female,55.28,-,-
Developed regions,196,Cyprus,2005,Male,62.31,-,-
Developed regions,196,Cyprus,2005,Both sexes,58.67,-,-
Developed regions,196,Cyprus,2007,Female,60.69,-,-
Developed regions,196,Cyprus,2007,Male,66.54,-,-
Developed regions,196,Cyprus,2007,Both sexes,63.53,-,-
Developed regions,196,Cyprus,2009,Female,60.74,-,-
Developed regions,196,Cyprus,2009,Male,67.01,-,-
Developed regions,196,Cyprus,2009,Both sexes,63.82,-,-
Developed regions,196,Cyprus,2010,Female,62.34,-,-
Developed regions,196,Cyprus,2010,Male,68.68,-,-
Developed regions,196,Cyprus,2010,Both sexes,65.45,-,-
Developed regions,196,Cyprus,2004,Female,53.52,-,-
Developed regions,196,Cyprus,2004,Male,61.07,-,-
Developed regions,196,Cyprus,2004,Both sexes,57.14,-,-
Developed regions,196,Cyprus,2006,Female,58.43,-,-
Developed regions,196,Cyprus,2006,Male,64.17,-,-
Developed regions,196,Cyprus,2006,Both sexes,61.2,-,-
Developed regions,196,Cyprus,2011,Female,65.14,-,-
