"","Group.1","seatprop","ger_tertiary","ger_secondary","molten.flfpr","molten.gdp","molten.gni","molten.pop"
"1","2000",16.1510212765957,30.9688461538462,99.2818604651163,NA,26416066403.2157,NA,9608874.26923077
"2","2001",17.0276553191489,29.6315384615385,100.969593495935,49.573896605393,397009785474.906,27066.0344827586,13449992.6708861
"3","2002",17.8813170212766,29.698064516129,101.883849206349,49.8572587638066,396561869744.542,27708.275862069,13540734.4303797
"4","2003",18.1801270833333,31.7937931034483,103.871856060606,50.107241400357,444943829499.708,28723.4482758621,13630518.0253165
"5","2004",18.0711979591837,31.4006896551724,101.49696969697,50.3295689944563,495312427549.337,30677.7586206897,13725478.1898734
"6","2005",18.824314,32.3339285714286,102.052753623188,50.7804998200515,516572370096.001,31833.8983050847,13823052.5822785
"7","2006",19.1783352941176,32.0455172413793,102.035724637681,51.1601379328761,545621920762.778,34338.6440677966,13929213.7341772
"8","2007",19.8331607843137,33.1096875,101.903115942029,51.5274654914593,605328343196.993,36910.6666666667,14041175.5696203
"9","2008",20.2758156862745,32.3614285714286,102.108759689922,51.9232583210386,652740312846.226,37477.8333333333,14160503.8227848
"10","2009",20.811482,33.7042857142857,101.606888888889,52.0605518077982,612275240530.48,35750.6557377049,14267232.443038
"11","2010",21.2028431372549,34.7370588235294,101.897517730496,52.1448967703458,641017608672.512,37023.1147540984,14363137.0253165
"12","2011",20.84851,35.8674193548387,102.156737588652,52.1936378807857,681950449093.325,38693.7704918033,14432342.0759494
"13","2012",22.3423470588235,33.5394117647059,103.290592592593,52.5337238640621,682599890496.091,39793.064516129,14518501.2278481
"14","2013",22.910337254902,31.4669230769231,106.499090909091,52.7657068186793,690679070803.239,41185.3225806452,14605456.0506329
"15","2014",24.0123941176471,32.3086206896552,107.225886524823,53.056810444799,715556492019.7,41320.6451612903,14695333.1265823
"16","2015",23.9715941176471,33.2389743589744,108.974113475177,53.3176549714187,675517547695.385,42210.3225806452,14783104.9746835
"17","2016",23.934862745098,33.7719047619048,111.129404761905,53.4897239948141,689654305663.739,43226.935483871,14871417.5696203
"18","2017",23.9156980769231,21.43,NA,53.6265861248148,751880463530.251,45185,14947811.3291139
