"","Country","seatprop","ger_tertiary","ger_secondary","molten.flfpr","molten.gdp","molten.gni","molten.pop","ml_wagespaid1","ml_length1","fertility"
"1","Afghanistan",27.6062666666667,NA,38.7351111111111,44.3092940835392,12587166373.5917,1783.33333333333,27728613.7222222,100,13,6.18072222222222
"2","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76272222222222
"3","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73955555555556
"4","Andorra",28.9682555555556,13.5844444444444,NA,NA,3079124729.13405,NA,75223.0555555556,100,16,1.226
"5","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.21672222222222
"6","Antigua and Barbuda",9.16179444444444,53.2825,94.8662962962963,NA,1163658104.64052,20081.7647058824,84716.6111111111,60,13,2.05122222222222
"7","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38138888888889
"8","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.699
"9","Australia",25.4493833333333,31.4675,155.811666666667,57.9204709670123,953883525881.017,37512.9411764706,21141260.7222222,100,52,1.84344444444444
"10","Austria",30.2064555555556,25.77,99.3423529411765,52.5735882029814,341568719871.185,41512.3529411765,8295005.77777778,100,16,1.425
"11","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93241666666667
"12","Bahrain",4.33333333333333,47.56,96.1427083333333,41.1217651367187,23391843163.3292,38088.8235294118,1063814.55555556,100,9,2.30683333333333
"13","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49755555555556
"14","Barbados",12.3809555555556,40.5,105.518444444444,63.2135290258071,4231655882.35294,14957.6470588235,277520,100,12,1.71111111111111
"15","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46177777777778
"16","Belgium",34.1481333333333,25.5016666666667,157.695833333333,46.0104114308077,413951197296.192,39241.7647058823,10728826.5,75,15,1.74888888888889
"17","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86616666666667
"18","Benin",8.03212222222222,31.2266666666667,38.5262962962963,67.8169995476218,6247002953.47956,1777.05882352941,8648546.77777778,100,14,5.43738888888889
"19","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54427777777778
"20","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.324
